emoji,name_ko,category,keywords_ko
🏃,달리기,활동,러닝;운동;아침
🚴,자전거,활동,라이딩;바퀴;야외
🏊,수영,활동,물;바다;스포츠
🧗,클라이밍,활동,볼더링;암벽;실내
⛷️,스키,활동,겨울;눈;스피드
🏄,서핑,활동,파도;바다;여름
🧘,요가,활동,명상;스트레칭;고요
🏋️,웨이트,활동,헬스;근력;체육관
⚽,축구,활동,공;팀;주말
🏀,농구,활동,공;코트;슛
🎾,테니스,활동,라켓;코트;랠리
🏓,탁구,활동,라켓;스핀;실내
⛳,골프,활동,필드;스윙;그린
🎳,볼링,활동,핀;스트라이크;모임
🥾,등산,활동,산;트레킹;아웃도어
🏕️,캠핑,활동,텐트;모닥불;자연
🎣,낚시,활동,물가;기다림;고요
🧵,뜨개질,취미,실;손뜨개;핸드메이드
🎨,그림,취미,드로잉;물감;창작
🖌️,붓,취미,캘리그라피;페인팅;손글씨
✏️,스케치,취미,연필;드로잉;기록
📷,사진,취미,카메라;출사;순간
🎞️,필름,취미,필름카메라;현상;아날로그
🎬,영화,취미,시네마;극장;감상
📺,드라마,취미,시리즈;정주행;OTT
🎮,게임,취미,콘솔;플레이;승부
🕹️,레트로게임,취미,오락실;고전;아케이드
🎲,보드게임,취미,주사위;모임;전략
♟️,체스,취미,전략;수읽기;보드
🧩,퍼즐,취미,조각;몰입;집중
🃏,카드게임,취미,트럼프;마술;모임
🎤,노래,취미,노래방;보컬;무대
🎧,음악감상,취미,플레이리스트;이어폰;몰입
🎸,기타,취미,밴드;연주;코드
🎹,피아노,취미,건반;연주;클래식
🥁,드럼,취미,리듬;밴드;비트
🎻,바이올린,취미,현악;클래식;연주
🎷,색소폰,취미,재즈;관악;선율
📚,독서,취미,책;서점;북클럽
✍️,글쓰기,취미,에세이;일기;기록
📖,소설,취미,이야기;몰입;밤샘
🖋️,만년필,취미,필사;잉크;손글씨
🎭,연극,취미,공연;무대;배우
💃,춤,취미,댄스;리듬;몸
🩰,발레,취미,무용;공연;우아
🧑‍🍳,요리,취미,쿠킹;레시피;주방
🍳,아침요리,취미,계란;브런치;집밥
🥘,집밥,취미,한식;레시피;저녁
🍰,베이킹,취미,케이크;오븐;디저트
🍞,빵,취미,베이커리;빵지순례;고소함
☕,커피,취미,카페;원두;핸드드립
🍵,차,취미,티;다도;고요
🧋,버블티,취미,밀크티;타피오카;달달
🍺,맥주,취미,수제맥주;펍;치맥
🍷,와인,취미,페어링;분위기;저녁
🍸,칵테일,취미,바;믹솔로지;밤
🥃,위스키,취미,바;온더락;향
🍜,라멘,음식,국물;면;맛집
🍣,초밥,음식,스시;오마카세;일식
🍕,피자,음식,치즈;야식;모임
🌮,타코,음식,멕시칸;매콤;세계음식
🍛,카레,음식,향신료;집밥;따뜻함
🥗,샐러드,음식,건강;채소;가벼움
